director;1970_gross;1980_gross;1990_gross;2000_gross;2010_gross
Clint Eastwood;0;44050000;61801017.25;63979184.4444444;116801092.75
Martin Scorsese;177298.5;20237605.6666667;37091200.8333333;79504320.75;106218408.666667
Ridley Scott;78900000;36322602;29227366;86778773.3333333;101183185.333333
Spike Lee;0;16409597;18490854;29967131.6;0
Steven Soderbergh;0;24741700;20266313.5;89107862;54518482.6
Steven Spielberg;194150000;229708368.8;176979248;150109365.857143;92950041.6
Tim Burton;0;162257795;65708928.75;137214904.2;159569930.8
Woody Allen;39200000;12778124;9674946.5;11841963.5;27538425.25
